block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
a_17-001_3534,16,1,ALA MOANA CENTER,170008,3534_smuwtfa,5595621.1701.852219
b_432-001_3616,88,0,WAIPAHU TRANSIT CENTER,4320024,3616_smuwtfa,5605778.4322.871230
b_5-001_3572,5,1,MANOA VALLEY,50011,3572_a,5591256.503.862597
b_55-008_3616,130,1,HONOLULU - Ala Moana Center,550075,3616_smuwtfa,5606825.5502.872042
b_11-001_3572,11,0,HALAWA - AIEA HEIGHTS,110019,3572_a,5591359.1109.862690
b_62-005_3597,131,0,WAHIAWA HEIGHTS,620142,3597_muwtf_RLoff,5600135.6208.868318
b_73-001_3616,44,0,PEARL CITY PENINSULA,730024,3616_smuwtfa,5605982.7303.871404
b_43-003_3616,29,0,WAIPAHU via H-1 Freeway,430024,3616_smuwtfa,5596483.4309.866052
b_432-002_3563,88,0,WAIPAHU TRANSIT CENTER,4320024,3563_muwtf,5598573.4322.867143
a_E-003_3497,109,1,CountryExpress! DOWNTOWN,E0032,3497_a,5602778.6802.856446
a_432-002_3495,88,1,EAST WAIPAHU - Paiwa Street,4320025,3495_muwtf,5598525.4321.853979
a_4-004_3495,4,1,UNIVERSITY - MOILIILI,40091,3495_muwtf,5589107.412.848720
a_414-001_3497,112,0,CommunityAccess! KAPOLEI TC,4140010,3497_a,5632345.4141.860200
a_403-001_3495,81,1,WAIANAE TRANSIT CENTER,4010004,3495_muwtf,5599225.4012.854500
b_31-001_3572,24,0,AIRPORT via Kalihi Transit Center,310020,3572_a,5591681.3104.862976
b_76-001_3563,46,1,WAIALUA,760008,3563_muwtf,5598308.7602.866988
b_8-001_3572,8,1,WAIKIKI BEACH & HOTELS,80018,3572_a,5591586.803.862901
a_8-004_3534,8,1,WAIKIKI BEACH & HOTELS,80018,3534_smuwtfa,5596618.803.853040
b_19-025_3572,18,1,WAIKIKI BEACH & HOTELS,190114,3572_a,5592707.1911.863654
a_432-002_3500,88,1,WAIPAHU TRANSIT CENTER,4320022,3500_s,5603813.4322.856975
a_1-015_3495,1,0,KALIHI TRANSIT CENTER,10207,3495_muwtf,5615376.107.859826
a_55-002_3500,129,0,HALEIWA,520093,3500_s,5604673.5220.857684
a_2-044_3500,2,1,WAIKIKI - KCC,20112,3500_s,5595084.213.852076
b_3-004_3563,3,0,SALT LAKE,30158,3563_muwtf,5590036.314.862405
a_415-001_3534,87,1,KALAELOA,4150010,3534_smuwtfa,5605942.4151.858343
a_E-007_3534,109,1,CountryExpress! DOWNTOWN,E0032,3534_smuwtfa,5606647.6802.858879
b_6-005_3572,6,0,PAUOA VALLEY,60125,3572_a,5591404.605.862726
b_19-022_3563,18,0,AIRPORT - HICKAM,190124,3563_muwtf,5589221.1903.862012
b_72-001_3563,43,0,WHITMORE via Wahiawa,720031,3563_muwtf,5598806.7203.867336
b_13-002_3616,127,1,WAIKIKI - UH Manoa,130118,3616_smuwtfa,5613537.1312.872575
a_62-004_3497,43,1,SCHOFIELD via Wahiawa,720027,3497_a,5602875.7202.856533
a_3-006_3495,3,0,SALT LAKE,30134,3495_muwtf,5589922.314.849112
b_4-001_3572,4,0,NUUANU - Dowsett Avenue via UH Manoa,40007,3572_a,5592597.407.863556
a_19-027_3497,19,0,AIRPORT - PEARLRIDGE,200077,3497_a,5592765.2003.850533
b_14-001_3616,13,1,MAUNALANI HEIGHTS via Waialae,140037,3616_smuwtfa,5696044.1406.873964
b_52-001_3616,129,1,HONOLULU - Ala Moana Center,520086,3616_smuwtfa,5606766.5204.871983
b_15-001_3572,14,1,ALAPAI TRANSIT CENTER,150011,3572_a,5591182.1501.862527
a_31-001_3497,24,0,AIRPORT via Kalihi Transit Center,310021,3497_a,5591663.3104.849779
b_18-001_3572,17,1,UH MANOA - Dole Street,180015,3572_a,5592110.1802.863237
a_23-003_3495,103,1,AINA HAINA,230037,3495_muwtf,5588491.2301.848346
a_432-002_3500,88,0,WEST WAIPAHU - Leoku Street,4320017,3500_s,5603767.4323.856929
b_19-023_3585,18,1,WAIKIKI BEACH & HOTELS,190114,3585_s,5594887.1911.865066
a_2-038_3534,2,0,SCHOOL STREET - Middle Street,20120,3534_smuwtfa,5597486.207.853653
a_14-001_3500,13,1,MAUNALANI HEIGHTS,140029,3500_s,5594983.1402.851977
a_62-004_3534,131,0,WAHIAWA HEIGHTS,620162,3534_smuwtfa,5606807.6208.859023
a_57-002_3497,36,0,KAILUA - WAIMANALO,570083,3497_a,5609808.5705.859224
b_8-001_3585,8,0,ALA MOANA CENTER,80021,3585_s,5594016.801.864426
a_23-001_3500,103,1,HAWAII KAI - SEA LIFE PARK,230033,3500_s,5594136.2303.851372
a_62-005_3491,131,0,WAHIAWA HEIGHTS,620154,3491_muwtf_RLon,5600134.6208.855203
b_55-002_3563,130,1,HONOLULU - Ala Moana Center,550066,3563_muwtf,5600298.5502.868478
a_1-025_3495,1,0,KALIHI TRANSIT CENTER,10205,3495_muwtf,5615357.107.859807
b_3-008_3585,3,1,KAPIOLANI COMM COLLEGE,30163,3585_s,5594543.311.864867
a_54-001_3500,33,0,LOWER PEARL CITY,540061,3500_s,5593731.5408.851007
b_57-004_3572,36,0,KAILUA - WAIMANALO,570085,3572_a,5609713.5705.872151
b_42-012_3616,28,0,EWA BEACH via Arizona Memorial,420119,3616_smuwtfa,5605241.4205.870822
b_40-005_3585,26,1,HONOLULU - Ala Moana Center,400232,3585_s,5604187.4005.870353
a_15-001_3534,14,0,PACIFIC HEIGHTS,150013,3534_smuwtfa,5595676.1503.852250
b_32-002_3563,25,1,KALIHI TRANSIT CENTER,320041,3563_muwtf,5587956.3204.861239
a_1-009_3495,1,0,KALIHI TRANSIT CENTER,10205,3495_muwtf,5615314.107.859764
a_44-002_3534,30,0,EWA VILLAGES - EWA BEACH,440015,3534_smuwtfa,5605719.4404.858136
a_42-005_3497,28,1,WAIPAHU TRANSIT CENTER,420126,3497_a,5602555.420C.856293
a_9-001_3534,126,1,KAIMUKI - KCC,90159,3534_smuwtfa,5597708.912.853839
a_5-001_3495,5,0,ALA MOANA CENTER,50013,3495_muwtf,5587187.501.847420
b_433-001_3572,90,1,WAIPAHU TRANSIT CENTER,4340041,3572_a,5602113.4343.869104
b_434-001_3616,90,1,WAIPAHU TRANSIT CENTER,4340042,3616_smuwtfa,5606128.4343.871521
a_13-006_3495,127,0,LILIHA - Puunui Avenue,130120,3495_muwtf,5613081.1306.859306
b_A-010_3572,22,1,CityExpress! UH MANOA,A0056,3572_a,5602195.2503.869180
a_8-009_3495,8,1,WAIKIKI BEACH & HOTELS,80018,3495_muwtf,5587274.803.847482
b_6-006_3616,6,0,PAUOA VALLEY,60125,3616_smuwtfa,5596126.605.865742
a_501-001_3500,113,0,MILILANI MAUKA,5010007,3500_s,5632481.5011.860324
b_8-004_3616,8,0,ALA MOANA CENTER,80021,3616_smuwtfa,5596523.801.866082
b_C-005_3572,40,1,CountryExpress! ALA MOANA,C0102,3572_a,5631814.6601.872975
a_403-001_3500,82,0,LUALUALEI HOMESTEADS,4020006,3500_s,5604357.4022.857421
b_14-001_3572,13,1,MAUNALANI HEIGHTS via Waialae,140003,3572_a,5694733.1406.873828
a_23-006_3495,36,0,KAILUA - SEA LIFE PARK,570084,3495_muwtf,5588374.5704.848297
a_40-005_3550,26,1,HONOLULU - Ala Moana Center,400280,3550_a_UWon,5624202.4005.859938
a_501-001_3534,115,1,MILILANI via Kuahelani,5040005,3534_smuwtfa,5632572.5041.860403
b_1-008_3563,1,0,KALIHI TRANSIT CENTER,10205,3563_muwtf,5615325.107.872764
a_1L-006_3495,102,0,AALA PARK - Limited Stops,1L0018,3495_muwtf,5615226.1A01.859676
b_413-001_3616,86,0,CAMPBELL INDUSTRIAL PARK,4130011,3616_smuwtfa,5605380.4131.870923
b_54-002_3563,33,0,UPPER PEARL CITY,540060,3563_muwtf,5587637.5409.861022
b_8-001_3585,8,1,WAIKIKI BEACH & HOTELS,80018,3585_s,5594024.803.864434
a_8-005_3500,8,1,WAIKIKI BEACH & HOTELS,80018,3500_s,5594044.803.851296
a_24-001_3495,128,1,UPPER AINA HAINA,240006,3495_muwtf,5588619.2402.848442
b_434-001_3616,90,1,WAIPAHU TRANSIT CENTER,4340042,3616_smuwtfa,5606101.4343.871494
a_44-001_3534,30,1,WAIPAHU - Leoku Street,440008,3534_smuwtfa,5605729.4405.858146
a_40-008_3495,26,0,MAKAHA TOWERS,400217,3495_muwtf,5600570.4092.855523
a_4-006_3495,4,0,NUUANU - Dowsett Avenue via UH Manoa,40095,3495_muwtf,5589100.407.848713
a_2-036_3497,2,0,SCHOOL STREET - Middle Street,20120,3497_a,5592884.207.850620
b_77-001_3563,47,0,WAIMANALO,770019,3563_muwtf,5587146.7702.860668
a_40-006_3534,26,1,HONOLULU - Ala Moana Center,400235,3534_smuwtfa,5606296.4005.858625
a_62-002_3500,131,0,WAHIAWA HEIGHTS,620162,3500_s,5604642.6208.857653
a_41-001_3495,84,0,KAPOLEI TRANSIT CENTER,4110028,3495_muwtf,5599530.4111.854793
a_8-004_3495,8,0,ALA MOANA CENTER,80021,3495_muwtf,5587347.801.847555
b_6-002_3563,6,1,WOODLAWN DRIVE via East-West Road,60123,3563_muwtf,5587853.609.861148
b_9s-001_3563,125,0,PALOLO VALLEY,9s0004,3563_muwtf,5661946.9A01.873627
b_65-001_3585,39,1,HONOLULU - Ala Moana Center,650099,3585_s,5604663.6502.870713
a_52-004_3534,129,0,WAHIAWA - HALEIWA,520090,3534_smuwtfa,5606873.5217.859089
a_501-001_3534,115,0,MILILANI via Kuahelani,5040006,3534_smuwtfa,5632592.5041.860423
b_E-003_3585,109,1,CountryExpress! DOWNTOWN,E0031,3585_s,5604487.6802.870547
b_22-004_3572,21,0,TheBeachBus - WAIKIKI BEACH,220052,3572_a,5592834.2208.863739
b_6-002_3585,6,1,UNIVERSITY - Woodlawn Drive,60120,3585_s,5593826.608.864248
b_13-003_3616,127,0,LILIHA - Puunui Avenue,130120,3616_smuwtfa,5613547.1306.872585
